cluster_id,caseName,us_cite,dateFiled,n_opinions,total_chars,text_sources
84871,Peisch and Others v. WARE AND OTHERS &C.,8 U.S. 347,1808-03-18,1,17779,html_with_citations
84872,Shearman v. Irvine's Lessee,8 U.S. 367,1808-03-18,1,7264,html_with_citations
2620973,Browne v. Strode,9 U.S. 303,1809-01-01,1,207,html_with_citations
2620974,Hodgson & Thompson v. Bowerbank,9 U.S. 303,1809-01-01,1,610,html_with_citations
84915,Welsh v. Mandeville & Jamesson,9 U.S. 321,1809-02-01,1,546,html_with_citations
84890,Tucker v. Oxley,9 U.S. 34,1809-02-15,1,12866,html_with_citations
84895,Matthews v. Zane's Lessee,9 U.S. 92,1809-02-16,1,17927,html_with_citations
84884,Alexander v. Mayor of Alexandria,9 U.S. 1,1809-02-18,1,10171,html_with_citations
84885,Henderson v. Moore,9 U.S. 11,1809-02-18,1,621,html_with_citations
84886,Cooke v. Woodrow,9 U.S. 13,1809-02-18,1,1322,html_with_citations
84887,Mandeville and Jamesson v. Wilson,9 U.S. 15,1809-02-18,1,9594,html_with_citations
2620975,United States v. Weeks,9 U.S. 1,1809-02-18,1,696,html_with_citations
84897,United States v. Peters,9 U.S. 115,1809-02-20,1,13525,html_with_citations
84900,Kempe's Lessee v. Kennedy,9 U.S. 173,1809-02-20,1,32385,html_with_citations
84888,Fairfax's v. Fairfax,9 U.S. 19,1809-02-21,1,3268,html_with_citations
84898,Violett v. Patton,9 U.S. 142,1809-02-23,1,11459,html_with_citations
84896,Hodgson v. Marine Ins. Co. of Alexandria,9 U.S. 100,1809-02-24,1,12519,html_with_citations
84904,The United States v. John Arthur and Robert Patterson,9 U.S. 257,1809-02-24,1,10076,html_with_citations
84906,The United States v. Evans,9 U.S. 280,1809-02-27,1,2032,html_with_citations
84901,The Marine Insurance Company of Alexandria v. James Young,9 U.S. 187,1809-02-28,1,9006,html_with_citations
84891,Young v. The Bank of Alexandria,9 U.S. 45,1809-03-10,1,9746,html_with_citations
84892,Yeaton v. Bank of Alexandria,9 U.S. 49,1809-03-10,1,13388,html_with_citations
84914,Himely v. Rose,9 U.S. 313,1809-03-10,1,10478,html_with_citations
84889,McKeen v. Delancy's Lessee,9 U.S. 22,1809-03-11,1,6658,html_with_citations
84917,Dulany v. Hodgkin,9 U.S. 333,1809-03-11,1,2900,html_with_citations
84899,Pierce v. Turner,9 U.S. 154,1809-03-13,1,19956,html_with_citations
84916,Riddle & Co. v. Mandeville & Jamesson,9 U.S. 322,1809-03-13,1,10378,html_with_citations
84918,Yeaton v. Fry,9 U.S. 335,1809-03-13,1,21036,html_with_citations
84920,Moss v. Riddle & Co,9 U.S. 351,1809-03-13,1,9190,html_with_citations
84902,Bodley v. Taylor,9 U.S. 191,1809-03-14,1,27986,html_with_citations
84905,Hepburn & Dundas v. Auld,9 U.S. 262,1809-03-14,1,20171,html_with_citations
84912,Keene v. The United States,9 U.S. 304,1809-03-14,1,4390,html_with_citations
84919,Owings v. Norwood's Lessee,9 U.S. 344,1809-03-14,1,15630,html_with_citations
84922,Auld v. Norwood,9 U.S. 361,1809-03-14,1,4340,html_with_citations
84925,Sloop Sally v. The United States,9 U.S. 372,1809-03-14,1,4155,html_with_citations
84893,The Hope Insurance Company of Providence v. Boardman,9 U.S. 57,1809-03-15,1,10462,html_with_citations
84894,Bank of the United States v. Deveaux,9 U.S. 61,1809-03-15,1,15845,html_with_citations
84909,Rush v. Parker,9 U.S. 287,1809-03-15,1,1114,html_with_citations
84911,Harrison v. Sterry,9 U.S. 289,1809-03-15,1,9865,html_with_citations
84921,Brent v. Chapman,9 U.S. 358,1809-03-15,1,902,html_with_citations
84923,Slacum v. Simms and Wise,9 U.S. 363,1809-03-15,1,11718,html_with_citations
84924,The United States v. Vowell and M'clean,9 U.S. 368,1809-03-15,1,11002,html_with_citations
2620972,Rodford v. Craig,9 U.S. 289,1809-03-15,1,554,html_with_citations
84903,Taylor & Quarles v. Brown,9 U.S. 234,1809-03-18,1,33238,html_with_citations
84907,"Yeaton and Others, of the Schooner General Pinkney and Cargo v. The United States",9 U.S. 281,1809-03-18,1,3827,html_with_citations
84908,United States v. Potts,9 U.S. 284,1809-03-18,1,1059,html_with_citations
84910,Logan v. Patrick,9 U.S. 288,1809-03-18,1,2053,html_with_citations
84913,United States v. Riddle,9 U.S. 311,1809-03-18,1,983,html_with_citations
84930,"Wilson, Ex Parte",10 U.S. 52,1810-02-01,1,2577,html_with_citations
84934,Riddle and Company v. Mandeville and Jamesson,10 U.S. 86,1810-02-01,1,2064,html_with_citations
84929,Young v. Grundy,10 U.S. 51,1810-02-10,1,710,html_with_citations
84927,Field v. Holland,10 U.S. 8,1810-02-12,1,18880,html_with_citations
84931,Oneale v. Thornton,10 U.S. 53,1810-02-15,1,9707,html_with_citations
84928,Maryland Insurance v. Woods,10 U.S. 29,1810-02-16,1,17196,html_with_citations
84932,King v. Delaware Insurance,10 U.S. 71,1810-02-17,1,7906,html_with_citations
84926,Scott v. Ben,10 U.S. 3,1810-02-18,1,6264,html_with_citations
84939,M'knight v. Craig's Administrator,10 U.S. 183,1810-02-19,1,11170,html_with_citations
84938,Campbell v. Gordon and Wife,10 U.S. 176,1810-02-20,1,4747,html_with_citations
84933,Lewis v. Harwood,10 U.S. 82,1810-02-24,1,5106,html_with_citations
84936,Massie v. Watts,10 U.S. 148,1810-02-28,1,28642,html_with_citations
84940,Kennedy v. Brent,10 U.S. 187,1810-02-28,1,10785,html_with_citations
84953,The Chesapeake Insurance Company v. Stark,10 U.S. 268,1810-03-14,1,4072,html_with_citations
84941,Korn v. Mutual Assurance Soc. Against Fire on Buildings of Va.,10 U.S. 192,1810-03-15,1,7796,html_with_citations
84957,Durousseau v. United States,10 U.S. 307,1810-03-15,1,26322,html_with_citations
84960,The Schooner Rachel v. The United States,10 U.S. 329,1810-03-15,1,2393,html_with_citations
84935,Fletcher v. Peck,10 U.S. 87,1810-03-16,1,49432,html_with_citations
84951,Sheehy v. Mandeville & Jamesson,10 U.S. 253,1810-03-16,1,11391,html_with_citations
84954,Livingston & Gilchrist v. Maryland Insurance,10 U.S. 274,1810-03-16,1,7651,html_with_citations
84956,Smith v. Maryland Ex Rel. Caroll & MacCubbin,10 U.S. 286,1810-03-16,1,8689,html_with_citations
84958,Tyler and Others v. Tuel,10 U.S. 324,1810-03-16,1,7804,html_with_citations
84959,The Schooner Juliana v. The United States. The Ship Alligator v. The United States,10 U.S. 327,1810-03-16,1,5681,html_with_citations
84961,The Brigantine Amiable Lucy v. The United States,10 U.S. 330,1810-03-16,1,6572,html_with_citations
84942,"Atkinson v. The Mutual Assurance Society Against Fire, on Buildings of the State of Virginia",10 U.S. 202,1810-03-17,1,2074,html_with_citations
84944,Marine Ins. Co. of Alexandria v. Hodgson,10 U.S. 206,1810-03-17,1,9133,html_with_citations
84955,Hudson and Smith v. Guestier,10 U.S. 281,1810-03-17,1,5519,html_with_citations
84962,Sere & Laralde v. Pitot,10 U.S. 332,1810-03-17,1,8923,html_with_citations
84963,Maryland Insurance v. Ruden's Administrator,10 U.S. 338,1810-03-17,1,4560,html_with_citations
84937,The United States v. Hall and Worth,10 U.S. 171,1810-03-18,1,13843,html_with_citations
84943,Stewart v. Anderson,10 U.S. 203,1810-03-18,1,5802,html_with_citations
84945,Slacum v. Pomery,10 U.S. 221,1810-03-18,1,11950,html_with_citations
84946,Vasse v. Smith,10 U.S. 226,1810-03-18,1,6960,html_with_citations
84947,Custiss v. The Georgetown and Alexandria Turnpike Company,10 U.S. 233,1810-03-18,1,4292,html_with_citations
84948,Lodge's Lessee v. Lee,10 U.S. 237,1810-03-18,1,2230,html_with_citations
84949,Finley v. Lynn,10 U.S. 238,1810-03-18,1,11546,html_with_citations
84950,De Butts v. Bacon,10 U.S. 252,1810-03-18,1,1363,html_with_citations
